type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,X,Y,quality
red,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,-38735.1061684511,188860.803165542,6
red,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,-10762.8635949544,271980.831245063,5
red,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,-33986.0379729282,208475.589656708,6
red,9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,-21226.6353664365,214425.453955951,6
red,6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,-30652.8740805996,234126.993691789,7
red,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,-24022.3675356592,237970.815587182,5
red,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,15982.8730773546,204017.869244394,6
red,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,-18943.891790922,194134.943470295,5
red,6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,-19537.6559264254,198140.772479135,5
red,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,-33479.5271246004,212894.531487858,6
red,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,-22582.5907797621,191853.604804767,6
red,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,-12631.3342628228,208444.998660371,6
red,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,-10938.5730854016,268949.376536233,7
red,8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,-27165.1610686278,235638.906707767,5
red,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,-46066.7006908744,225671.903775913,6
red,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,-20729.512669718,239604.703653838,5
red,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,-29125.4905039288,203679.631914112,6
red,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,-28366.658415059,201100.361331542,6
red,10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,-31050.8838705421,235047.432000457,7
red,8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,-7949.44627789713,198830.122530621,5
red,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,11871.5977152859,195370.580647193,7
red,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,-29375.4419958606,189478.314534457,5
red,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,-15598.3865970178,263583.804022083,5
red,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,-34019.9242277745,226685.579297011,5
red,7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,-27427.3682976743,191656.184054644,7
red,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,-19338.6607298039,203023.15323995,5
red,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6933.37015364415,187619.394764139,6
red,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,-25550.4818942702,249913.787632194,5
red,7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,-6193.72370599297,206551.483678905,6
red,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,-32815.8994471632,261880.526552186,6
red,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,-23268.8996874324,197256.93175739,5
red,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,-44268.9875679627,200298.113813412,6
red,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7293.22764852884,192638.038514219,7
red,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,-52729.2768129758,215056.144027647,5
red,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,-23985.0224383589,219590.943039345,5
red,9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,-36890.0017452071,263611.607848774,6
red,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,-27445.3899534776,261487.685658741,5
red,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,-28969.0833074298,209463.517789875,5
red,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,-50925.9070610303,208317.758039233,6
red,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,-34579.9290768759,193175.485895519,5
red,10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,-24726.3309678991,189355.089218857,5
red,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,-25710.2043612242,195457.153836494,6
red,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,-3562.80288843648,202098.225459218,7
red,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,-57235.2223163006,244080.259766982,7
red,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,14053.5187135208,204880.128780427,6
red,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,-14020.9986834489,214485.40940533,6
red,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,19870.6974127855,206362.39626372,7
red,9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,-16245.094940689,267452.761648539,7
red,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,-39625.886464268,230611.149583746,7
red,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,-24749.7549109292,265251.115048212,7
red,8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,-30776.1498801588,189253.421385733,5
red,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,-30641.8102976362,235232.688316277,7
red,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,-33443.3639638948,209735.01515212,7
red,9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,-27073.6602736055,194175.639041383,7
red,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,-12938.0318416637,212760.898608585,7
red,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,-24406.0916520245,237715.351003781,5
red,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,-20395.6836020632,236556.914683255,7
red,8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,-36218.2584601647,236899.906314674,6
red,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,-36945.0266579059,263528.139725169,5
red,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,-37495.7602429588,231561.879081033,6
red,8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,-15069.7282818815,267539.358925779,6
red,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,-36942.7730639018,205554.460962945,6
red,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,-35039.8389444108,260303.394444358,7
red,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,-14467.8411403718,221080.377626999,6
red,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,-31030.4712288264,237251.498677817,6
red,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,-28289.9742313031,223179.554265937,5
red,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,8471.13213204952,208652.023831278,6
red,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,-33953.5603060668,207236.600448647,6
red,7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,-33712.2561398803,210509.131232198,5
red,8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,1248.82603017319,200782.289045215,6
red,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,-15575.0728465635,216132.457259636,7
red,8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,-14549.8605809948,268482.334232922,6
red,7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,-18291.8789433223,215844.043701811,6
red,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,-44026.2330409988,254448.687345847,5
red,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,-13983.807656433,192682.903485916,6
red,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,-49024.0499294737,207037.865838704,7
red,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,-25733.6586588693,192317.710946957,7
red,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,-19343.6733774909,204868.873044887,7
red,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,-8136.03346370797,193220.65024152,5
red,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,-28260.3398602215,237175.360863764,6
red,8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,-24405.2077948341,265875.830118855,6
red,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,8180.62883003654,191428.923947061,7
red,7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,-36274.123166414,218592.995818764,7
red,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,-31606.9244780698,224487.175884717,5
red,8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,-39400.2871595666,194797.237170442,7
red,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,-29715.2056550749,259231.348937043,6
red,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,-15638.3114972739,216166.703388267,5
red,6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,-10933.7526633654,207020.151628425,6
red,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,-44238.2722420727,200256.76573077,6
red,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,-35180.6853162248,261663.128566702,7
red,6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,-35997.8866897423,233433.334672142,6
red,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,-31503.6949523214,235458.563760382,6
red,7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,-17390.6885940022,261329.811965836,6
red,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,-13299.0649293405,195917.535656858,5
red,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,-11613.0471318925,220681.345885366,6
red,9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,10087.0308744985,198220.11366182,6
red,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,-19266.0418271921,215556.432244799,5
red,8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,-37615.1765395406,220306.252607679,5
red,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,-41750.2741665518,253757.648098913,5
red,8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,12883.1890199477,202355.963969913,7
red,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,-18499.590540625,216520.670919796,6
red,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,-26440.8788292168,193888.281762598,6
red,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,-18713.2592472965,201363.998765057,7
red,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,-25314.658639446,240889.514443397,5
red,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,736.370246468442,188789.590671985,7
red,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,-23321.0100347859,221327.009176872,7
red,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,-14955.7167032381,192086.848543109,6
red,9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,-21094.22748949,266456.217472461,8
red,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,-24805.2529239837,205473.851994678,6
red,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,-49047.9397983899,206933.408124151,6
red,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,-8849.01845949437,191758.999045205,6
red,7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,-43241.9733880421,255416.570197043,6
red,6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,-28903.3657775386,210548.845568202,7
red,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,-36685.6478366652,232956.614930075,7
red,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,-43848.9052430209,225998.255101369,7
red,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,-23681.0271821818,245663.242737776,5
red,9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,-37531.5208930795,237673.993867334,7
red,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,-50558.1866052639,225049.006817664,5
red,7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,8288.45349427586,201178.607310514,6
red,8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,-42889.5057517417,239796.630229817,6
red,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,-33759.7806811691,235827.910341949,5
red,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,9456.09452119092,197317.388234755,7
red,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,3947.54141867535,186313.149894764,6
red,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,11184.6520876832,189580.222865623,5
red,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,10853.2048235668,189387.837383501,5
red,7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,-30987.740149116,263938.484950219,7
red,10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,-27597.781548985,260788.987623718,6
red,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,-44333.298068848,218249.2716126,7
red,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,11326.914985376,197878.164563032,6
red,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,-23515.4715413558,266359.583211381,6
red,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,-25100.8914490279,251088.698762237,6
red,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,-19745.7727819398,202394.994247272,5
red,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,-44067.8968727056,226018.93806479,7
red,7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,-14689.5860589364,205268.980210633,6
red,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,-30616.7518967796,192854.465192101,7
red,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,14650.3430794989,205913.91038662,7
red,10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,-33443.0462038969,204009.068204566,8
red,7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,-25891.9525988673,266221.162127444,6
red,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,3080.8403511946,187179.303492934,6
red,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,-27053.802392119,264078.760198527,7
red,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,-40104.194139558,228229.367148697,6
red,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,-10118.4571286845,198757.454872689,5
red,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,-20922.4903579501,228467.847601249,6
red,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,-43304.6178746289,205461.412180489,5
red,8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,9742.71185635899,185413.64034297,7
red,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,-26064.6342261695,264227.259323473,5
red,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,-25181.7387761063,239521.205587805,6
red,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,-36653.6212277382,232914.749123007,6
red,6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,-35056.1779674037,235371.024261662,6
red,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,-22105.8710867921,265519.377696898,6
red,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,-48120.7058455428,233184.449187315,6
red,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,-23309.9581703059,192187.531503299,5
red,8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,13364.4581910292,193752.049603317,6
red,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,-29543.4283457618,267762.654806089,7
red,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,-36993.8932940875,205224.280446929,5
red,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,-20434.5670989903,218869.870703434,6
red,8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,-52081.2049427683,224262.468023003,6
red,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,-40514.5639300395,220792.278505981,7
red,7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,-40202.2004868539,194023.617300699,6
red,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,-29272.0173596219,189541.33452499,6
red,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,-42829.7579016594,253359.071343744,6
red,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,-28800.7835839338,237678.721395679,6
red,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,-44996.100975328,227659.071923202,6
red,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,-29940.3949208443,190705.260750955,6
red,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,-7885.28502167883,192637.228127692,6
red,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,-29732.3587481262,193225.223387912,5
red,7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,-54493.4395531737,220520.668325768,8
red,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,-27924.4351819544,261474.08837003,6
red,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,18779.7325965955,203104.895163608,6
red,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,10643.7006701162,191884.066533271,6
red,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,-15731.7789887589,217895.431107877,4
red,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,-15919.2815076488,226489.186891086,7
red,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,-7337.15062271513,205150.820181762,6
red,6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,-14718.9150705647,217404.341366262,6
red,10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,-11305.2144667863,212754.781790243,5
red,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,-16561.4960885652,267460.915430775,6
red,9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,-10762.2522566335,269688.532094967,6
red,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,-15643.8706551991,190724.511459366,5
red,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,-23793.887661553,266306.769198156,7
red,7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,-41492.5904825282,212229.672370466,7
red,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,-17154.6348090989,262356.611893928,7
red,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,-22957.0904976084,242817.401259564,6
red,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,-16612.1564835053,194554.179455183,6
red,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,-20856.0154393671,196320.01986594,6
red,7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,-11384.402475717,192023.431229268,5
red,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,-22510.3904266357,264410.935395234,6
red,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,-31387.9628741255,191389.896828448,6
red,8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,-40135.1716841176,222775.816897155,6
red,6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,11888.5276721133,201462.817489875,6
red,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,-21927.8531707858,219234.999130354,6
red,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,-38535.8281934604,217221.578908543,5
red,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,-34628.1683616669,216443.080027106,6
red,7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,-875.388890350605,212069.281024262,6
red,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,-38535.4422572216,215449.538270309,7
red,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,-23055.3289663503,241626.266145915,6
red,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,-36775.4373145891,235498.834533407,6
red,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,-20513.5426767904,223828.542741919,7
red,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,-21873.7551392265,211439.049835208,6
red,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,-30235.1750343017,264735.367172045,5
red,9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,9244.81971139552,192685.003920496,6
red,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,-44325.9865432257,218413.834398008,6
red,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,-44343.812395368,218718.581812708,5
red,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,-30154.8285555109,259950.838038631,7
red,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,15574.5733356727,196524.085492795,7
red,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,-32397.8975053182,196241.572643402,6
red,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,-43894.41451269,230631.457715536,5
red,10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,-12875.1912674156,212302.968217867,7
red,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,-29743.3718334607,237696.760875676,6
red,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,9964.31645244226,192867.219461209,7
red,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,-23418.2501815603,266986.68358709,5
red,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,-40079.7488840377,234992.610100037,5
red,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,-18255.1076573422,196075.574585347,5
red,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,-15588.7857202755,221554.464533685,5
red,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,-5004.01147956807,199310.616847313,7
red,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,-16545.8994661777,197848.557940096,6
red,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,-43466.3698202385,231070.599112605,6
red,9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,-19657.1308187389,198643.758519925,6
red,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,-41885.3969232994,227919.379218018,6
red,9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,-34527.9717611265,223137.959062951,6
red,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,-31005.354326246,260036.438599624,6
red,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,11167.1304677187,194302.885135614,6
red,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,-7768.57780520638,197711.322803738,6
red,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,-38106.6122596669,235718.263243702,4
red,7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,-27205.5843481418,235721.440411953,7
red,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,-30255.3708821421,233132.848415874,5
red,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,-18392.2868129722,267996.574207195,6
red,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,-43105.4610308882,208894.483929166,6
red,9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,-15564.3579906516,269979.675681754,5
red,10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,-15011.2288434598,264246.860991815,6
red,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,-30581.42236379,237201.950348425,5
red,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,-32626.4229325654,226827.281298917,5
red,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,-961.618517248737,192171.587161691,6
